,url
0,https://www.neubaukompass.de/neubau/54-east-berlin/
1,https://www.neubaukompass.de/neubau/hu150-berlin/
2,https://www.neubaukompass.de/neubau/sophienpark-berlin/
3,https://www.neubaukompass.de/neubau/vert-wohnen-am-tacheles-berlin/
4,https://www.neubaukompass.de/neubau/vert-wohnen-am-tacheles-berlin/wohneinheit-85960
5,https://www.neubaukompass.de/neubau/vert-wohnen-am-tacheles-berlin/wohneinheit-85958
6,https://www.neubaukompass.de/neubau/vert-wohnen-am-tacheles-berlin/wohneinheit-85956
7,https://www.neubaukompass.de/neubau/vert-wohnen-am-tacheles-berlin/wohneinheit-85959
8,https://www.neubaukompass.de/neubau/vert-wohnen-am-tacheles-berlin/wohneinheit-85957
9,https://www.neubaukompass.de/neubau/pohlestrasse-berlin/
10,https://www.neubaukompass.de/neubau/pohlestrasse-berlin/wohneinheit-82180
11,https://www.neubaukompass.de/neubau/pohlestrasse-berlin/wohneinheit-82177
12,https://www.neubaukompass.de/neubau/pohlestrasse-berlin/wohneinheit-82179
13,https://www.neubaukompass.de/neubau/pohlestrasse-berlin/wohneinheit-82182
14,https://www.neubaukompass.de/neubau/pohlestrasse-berlin/wohneinheit-82171
15,https://www.neubaukompass.de/neubau/wilhelmsaue-berlin/
16,https://www.neubaukompass.de/neubau/mommsen-und-wieland-berlin/
17,https://www.neubaukompass.de/neubau/mommsen-und-wieland-berlin/wohneinheit-83701
18,https://www.neubaukompass.de/neubau/mommsen-und-wieland-berlin/wohneinheit-83703
19,https://www.neubaukompass.de/neubau/pfarrlandstrasse-13-berlin/
20,https://www.neubaukompass.de/neubau/alt-reinickendorf-54-berlin/
21,https://www.neubaukompass.de/neubau/monos-berlin/
22,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/
23,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96751
24,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96754
25,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96755
26,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96756
27,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96744
28,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96752
29,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96745
30,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96743
31,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96746
32,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96753
33,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96748
34,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96747
35,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96749
36,https://www.neubaukompass.de/neubau/babel-tree-oranienburg/wohneinheit-96750
37,https://www.neubaukompass.de/neubau/gutshof-falkenberg-berlin/
38,https://www.neubaukompass.de/neubau/mywest-berlin/
39,https://www.neubaukompass.de/neubau/mywest-berlin/wohneinheit-81472
40,https://www.neubaukompass.de/neubau/mywest-berlin/wohneinheit-81311
41,https://www.neubaukompass.de/neubau/mywest-berlin/wohneinheit-81471
42,https://www.neubaukompass.de/neubau/mywest-berlin/wohneinheit-85955
43,https://www.neubaukompass.de/neubau/mywest-berlin/wohneinheit-81315
44,https://www.neubaukompass.de/neubau/mywest-berlin/wohneinheit-81316
45,https://www.neubaukompass.de/neubau/mywest-berlin/wohneinheit-81313
46,https://www.neubaukompass.de/neubau/mywest-berlin/wohneinheit-81470
47,https://www.neubaukompass.de/neubau/mywest-berlin/wohneinheit-92638
48,https://www.neubaukompass.de/neubau/nikolas-ensemble-berlin/
49,https://www.neubaukompass.de/neubau/nikolas-ensemble-berlin/wohneinheit-93896
50,https://www.neubaukompass.de/neubau/nikolas-ensemble-berlin/wohneinheit-93868
51,https://www.neubaukompass.de/neubau/nikolas-ensemble-berlin/wohneinheit-93914
52,https://www.neubaukompass.de/neubau/nikolas-ensemble-berlin/wohneinheit-93935
53,https://www.neubaukompass.de/neubau/nikolas-ensemble-berlin/wohneinheit-93923
54,https://www.neubaukompass.de/neubau/nikolas-ensemble-berlin/wohneinheit-93948
55,https://www.neubaukompass.de/neubau/nikolas-ensemble-berlin/wohneinheit-93841
56,https://www.neubaukompass.de/neubau/vertino-potsdam/
57,https://www.neubaukompass.de/neubau/kurt-tucholsky-strasse-47-hohen-neuendorf/
58,https://www.neubaukompass.de/neubau/pan-und-co-berlin/
59,https://www.neubaukompass.de/neubau/oranie-1-berlin/
60,https://www.neubaukompass.de/neubau/oranie-1-berlin/wohneinheit-93889
61,https://www.neubaukompass.de/neubau/oranie-1-berlin/wohneinheit-93862
62,https://www.neubaukompass.de/neubau/oranie-1-berlin/wohneinheit-93931
63,https://www.neubaukompass.de/neubau/oranie-1-berlin/wohneinheit-93953
64,https://www.neubaukompass.de/neubau/oranie-1-berlin/wohneinheit-93837
65,https://www.neubaukompass.de/neubau/oranie-1-berlin/wohneinheit-93922
66,https://www.neubaukompass.de/neubau/gruenes-gewoelbe-spandau/
67,https://www.neubaukompass.de/neubau/gruenes-gewoelbe-spandau/wohneinheit-96105
68,https://www.neubaukompass.de/neubau/gruenes-gewoelbe-spandau/wohneinheit-96104
69,https://www.neubaukompass.de/neubau/gruenes-gewoelbe-spandau/wohneinheit-96103
70,https://www.neubaukompass.de/neubau/gruenes-gewoelbe-spandau/wohneinheit-96102
71,https://www.neubaukompass.de/neubau/gruenes-gewoelbe-spandau/wohneinheit-96101
72,https://www.neubaukompass.de/neubau/dresdener109-berlin/
73,https://www.neubaukompass.de/neubau/dresdener109-berlin/wohneinheit-80947
74,https://www.neubaukompass.de/neubau/pfau-am-potsdamer-platz-berlin/
75,https://www.neubaukompass.de/neubau/berkenbruecker-steig-berlin/
76,https://www.neubaukompass.de/neubau/berkenbruecker-steig-berlin/wohneinheit-92213
77,https://www.neubaukompass.de/neubau/berkenbruecker-steig-berlin/wohneinheit-92217
78,https://www.neubaukompass.de/neubau/berkenbruecker-steig-berlin/wohneinheit-92220
